COMPTE UNIF;AFFECTATION;ACTIVE;PASSIVE
10100000;BIL30;BIL30;BIL30
10500000;BIL31;BIL31;BIL31
10610000;BIL32;BIL32;BIL32
10620000;BIL32;BIL32;BIL32
11000000;BIL33;BIL33;BIL33
11900000;BIL33;BIL33;BIL33
12000000;BIL33;BIL33;BIL33
12800000;BIL33;BIL33;BIL33
12900000;BIL33;BIL33;BIL33
13100000;BIL37;BIL37;BIL37
13110000;BIL37;BIL37;BIL37
16100000;BIL36;BIL36;BIL36
16110000;BIL36;BIL36;BIL36
16120000;BIL36;BIL36;BIL36
16130000;BIL36;BIL36;BIL36
16150000;BIL36;BIL36;BIL36
16160000;BIL36;BIL36;BIL36
16200000;BIL36;BIL36;BIL36
16300000;BIL36;BIL36;BIL36
16400000;BIL36;BIL36;BIL36
16400010;BIL36;BIL36;BIL36
16400020;BIL36;BIL36;BIL36
16400030;BIL36;BIL36;BIL36
16400040;BIL36;BIL36;BIL36
16400050;BIL36;BIL36;BIL36
16400060;BIL36;BIL36;BIL36
16400070;BIL36;BIL36;BIL36
16400080;BIL36;BIL36;BIL36
16400090;BIL36;BIL36;BIL36
16400100;BIL36;BIL36;BIL36
16400110;BIL36;BIL36;BIL36
16400120;BIL36;BIL36;BIL36
16400130;BIL36;BIL36;BIL36
16400140;BIL36;BIL36;BIL36
16400150;BIL36;BIL36;BIL36
16410000;BIL36;BIL36;BIL36
16411000;BIL38;BIL38;BIL38
16412000;BIL38;BIL38;BIL38
16413000;BIL36;BIL36;BIL36
16415000;BIL36;BIL36;BIL36
16420000;BIL36;BIL36;BIL36
16430000;BIL36;BIL36;BIL36
16440000;BIL36;BIL36;BIL36
16500000;BIL35;BIL35;BIL35
16600000;BIL36;BIL36;BIL36
16884000;BIL38;BIL38;BIL38
16885000;BIL38;BIL38;BIL38
20300000;BIL02;BIL02;BIL02
20400000;BIL01;BIL01;BIL01
20500000;BIL02;BIL02;BIL02
20800000;BIL02;BIL02;BIL02
21100000;BIL03;BIL03;BIL03
21110000;BIL03;BIL03;BIL03
21200000;BIL03;BIL03;BIL03
21300000;BIL04;BIL04;BIL04
21310000;BIL04;BIL04;BIL04
21350000;BIL07;BIL07;BIL07
21500000;BIL07;BIL07;BIL07
21510000;BIL05;BIL05;BIL05
21520000;BIL07;BIL07;BIL07
21530000;BIL05;BIL05;BIL05
21540000;BIL05;BIL05;BIL05
21550000;BIL05;BIL05;BIL05
21570000;BIL07;BIL07;BIL07
21580000;BIL04;BIL04;BIL04
21590000;BIL07;BIL07;BIL07
21800000;BIL08;BIL08;BIL08
21810000;BIL10;BIL10;BIL10
21811000;BIL05;BIL05;BIL05
21820000;BIL08;BIL08;BIL08
21830000;BIL06;BIL06;BIL06
21831000;BIL06;BIL06;BIL06
21832000;BIL09;BIL09;BIL09
21840000;BIL09;BIL09;BIL09
21850000;BIL05;BIL05;BIL05
21860000;BIL05;BIL05;BIL05
21870000;BIL08;BIL08;BIL08
21880000;BIL08;BIL08;BIL08
23000000;BIL11;BIL11;BIL11
23100000;BIL11;BIL11;BIL11
