SOCIETE;COMPTE SAGE;COMPTE UNIF; 
AGRIFARM;1010000;10100000;
AGRIFARM;1061000;10610000;
AGRIFARM;1100000;11000000;
AGRIFARM;1610000;16100000;
AGRIFARM;1620000;16200000;
AGRIFARM;1643000;16430000;
AGRIFARM;2040000;20400000;
AGRIFARM;2110000;21100000;
AGRIFARM;2120000;21200000;
AGRIFARM;2130000;21300000;
AGRIFARM;2150000;21500000;
AGRIFARM;2152000;21520000;
AGRIFARM;2153000;21530000;
AGRIFARM;2154000;21540000;
AGRIFARM;2181000;21810000;
AGRIFARM;2181100;21811000;
AGRIFARM;2182000;21820000;
AGRIFARM;2183000;21830000;
AGRIFARM;2184000;21840000;
AGRIFARM;2185000;21850000;
AGRIFARM;2186000;21860000;
AGRIFARM;2300000;23000000;
AGRIFARM;2320000;23200000;
AGRIFARM;2804000;28040000;
AGRIFARM;2812000;28120000;
AGRIFARM;2813000;28130000;
AGRIFARM;2815000;28150000;
AGRIFARM;2815200;28152000;
AGRIFARM;2815300;28153000;
AGRIFARM;2815400;28154000;
AGRIFARM;2818100;28181000;
AGRIFARM;2818110;28181100;
AGRIFARM;2818200;28182000;
AGRIFARM;2818300;28183000;
AGRIFARM;2818400;28184000;
AGRIFARM;2818500;28185000;
AGRIFARM;2818600;28186000;
AGRIFARM;3100000;31000000;
AGRIFARM;3510000;35100000;
AGRIFARM;4011000;40110000;
AGRIFARM;4012000;40120000;
AGRIFARM;4031000;40310000;
AGRIFARM;4032000;40320000;
AGRIFARM;4033000;40330000;
AGRIFARM;4034000;40340000;
AGRIFARM;4040000;40400000;
AGRIFARM;4081000;40810000;
AGRIFARM;4082000;40820000;
AGRIFARM;4091000;40910000;
AGRIFARM;4092000;40920000;
AGRIFARM;4111000;41110000;
AGRIFARM;4160000;41600000;
AGRIFARM;4181000;41810000;
AGRIFARM;4190000;41900000;
AGRIFARM;4198000;41980000;
AGRIFARM;4210000;42100000;
AGRIFARM;4250000;42500000;
AGRIFARM;4251000;42510000;
AGRIFARM;4252000;42520000;
AGRIFARM;4253000;42530000;
AGRIFARM;4254000;42540000;
AGRIFARM;4280000;42800000;
AGRIFARM;4310000;43100000;
AGRIFARM;4311000;43110000;
AGRIFARM;4320000;43200000;
AGRIFARM;4330000;43300000;
AGRIFARM;4370000;43500000;
AGRIFARM;4386000;43860000;
AGRIFARM;4400000;44000000;
AGRIFARM;4410000;44100000;
AGRIFARM;4430000;44300000;
AGRIFARM;4440000;44400000;
AGRIFARM;4441000;44410000;
AGRIFARM;4442000;44420000;
AGRIFARM;4443000;44430000;
AGRIFARM;4455000;44550000;
AGRIFARM;4456200;44562000;
AGRIFARM;4456300;44563000;
AGRIFARM;4456400;44564000;
AGRIFARM;4457100;44571000;
AGRIFARM;4458000;44580000;
AGRIFARM;4458300;44583000;
AGRIFARM;4551100;45511000;
AGRIFARM;4551400;45514000;
AGRIFARM;4620000;46200000;
AGRIFARM;4660000;46600000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4661000;46610000;
AGRIFARM;4662000;46620000;
AGRIFARM;4670000;46700000;
AGRIFARM;4670000;46700000;
AGRIFARM;4670000;46700000;
AGRIFARM;4670000;46700000;
AGRIFARM;4710000;47100000;
AGRIFARM;4720000;47200000;
AGRIFARM;4860000;48600000;
AGRIFARM;4910000;49100000;
AGRIFARM;5111000;51110000;
AGRIFARM;5114000;51140000;
AGRIFARM;5115000;51140000;
AGRIFARM;5120100;51201000;
AGRIFARM;5120200;51202000;
AGRIFARM;5121100;51211000;
AGRIFARM;5122100;51221000;
AGRIFARM;5123100;51231000;
AGRIFARM;5124100;51241000;
AGRIFARM;5180000;51800000;
AGRIFARM;5191000;51910000;
AGRIFARM;5192000;51920000;
AGRIFARM;5194000;51940000;
AGRIFARM;5195000;51950000;
AGRIFARM;5311000;53110000;
AGRIFARM;5320000;53200000;
AGRIFARM;5321000;53200000;
AGRIFARM;5330000;53300000;
AGRIFARM;5800000;58000000;
